나이,BM지수등급,성별,추천운동명
20대,정상,남자,유산소 운동 전 동적 루틴 스트레칭
20대,정상,남자,앉아서 밴드 잡고 몸통 돌리기
20대,정상,남자,전신 루틴 스트레칭
20대,정상,남자,짐볼을 이용한 동적 루틴 스트레칭
20대,정상,남자,목 스트레칭
20대,정상,남자,달리기
20대,정상,남자,앉았다 일어서기
20대,정상,남자,엎드려 버티기
20대,정상,남자,턱걸이
20대,정상,남자,누워서 엉덩이 들어올리기
20대,정상,남자,상지 루틴 스트레칭
20대,정상,남자,전신 루틴 스트레칭
20대,정상,남자,자가근막이완술 루틴 스트레칭
20대,정상,남자,하지 루틴 스트레칭2
20대,정상,남자,조깅
20대,정상,여자,앉아서 밴드 잡고 몸통 돌리기
20대,정상,여자,몸통 들어올리기
20대,정상,여자,목 스트레칭
20대,정상,여자,앉았다 일어서기
20대,정상,여자,엎드려 버티기
20대,정상,여자,달리기
20대,정상,여자,계단 뛰어 오르기
20대,정상,여자,볼 튕기면서 스쿼트
20대,정상,여자,하지 루틴 스트레칭2
20대,정상,여자,자가근막이완술 루틴 스트레칭
20대,정상,여자,무릎굽혀 원 그리기
20대,정상,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,정상,여자,상지 루틴 스트레칭
20대,정상,남자,유산소 운동 전 동적 루틴 스트레칭
20대,정상,남자,전신 루틴 스트레칭
20대,정상,남자,목 스트레칭
20대,정상,남자,하지 루틴 스트레칭1
20대,정상,남자,상지 루틴 스트레칭
20대,정상,남자,달리기
20대,저체중,여자,목 스트레칭
20대,저체중,여자,몸통 들어올리기
20대,저체중,여자,트레드밀에서 걷기
20대,저체중,여자,가슴/어깨 앞쪽 스트레칭
20대,저체중,여자,등/어깨 뒤쪽 스트레칭
20대,저체중,여자,서서 팔꿈치 펴기
20대,저체중,여자,몸통 들어올리기
20대,저체중,여자,볼 튕기면서 스쿼트
20대,저체중,여자,바벨들어올리기
20대,저체중,여자,서서 바벨 위로 밀기
20대,저체중,여자,밴드 잡고 누워서 다리 밀기
20대,저체중,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,저체중,여자,무릎굽혀 원 그리기
20대,저체중,여자,상체 앞으로 숙이기
20대,저체중,여자,네발 걷기
20대,저체중,여자,맨몸운동  루틴프로그램
20대,저체중,여자,전신 루틴 스트레칭
20대,저체중,여자,몸통 들어올리기
20대,저체중,여자,앉아서 밴드 잡고 몸통 돌리기
20대,저체중,여자,허리 스트레칭
20대,저체중,여자,옆구리늘리기
20대,저체중,여자,계단 뛰어 오르기
20대,저체중,여자,턱걸이
20대,저체중,여자,네발기기 자세로 팔 다리 들기
20대,저체중,여자,네발기기 자세에서 다리 위로 뻗어올리기
20대,저체중,여자,누워서 배가로근 수축 II
20대,저체중,여자,자가근막이완술 루틴 스트레칭
20대,저체중,여자,목 스트레칭
20대,저체중,여자,엉덩이 스트레칭
20대,저체중,여자,조깅
20대,저체중,여자,무릎굽혀 원 그리기
20대,저체중,남자,목 스트레칭
20대,저체중,남자,유산소 운동 전 동적 루틴 스트레칭
20대,저체중,남자,전신 루틴 스트레칭
20대,저체중,남자,짐볼을 이용한 동적 루틴 스트레칭
20대,저체중,남자,허리 스트레칭
20대,저체중,남자,달리기
20대,저체중,여자,몸통 들어올리기
20대,저체중,여자,전신 루틴 스트레칭
20대,저체중,여자,목 스트레칭
20대,저체중,여자,등/어깨 뒤쪽 스트레칭
20대,저체중,여자,트레드밀에서 걷기
20대,저체중,여자,볼 튕기면서 스쿼트
20대,저체중,여자,앉았다 일어서기
20대,저체중,여자,한발 앞으로 내밀고 앉았다 일어서기
20대,저체중,여자,바벨 끌어당기기
20대,저체중,여자,서서 바벨 위로 밀기
20대,저체중,여자,무릎굽혀 원 그리기
20대,저체중,여자,자가근막이완술 루틴 스트레칭
20대,저체중,여자,하지 루틴 스트레칭2
20대,저체중,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,저체중,여자,엉덩이 스트레칭2
20대,저체중,남자,등/어깨 뒤쪽 스트레칭
20대,저체중,남자,가슴/어깨 앞쪽 스트레칭
20대,저체중,남자,트레드밀에서 걷기
20대,저체중,남자,몸통 들어올리기
20대,저체중,남자,목 스트레칭
20대,저체중,남자,바벨들어올리기
20대,저체중,남자,서서 바벨 위로 밀기
20대,저체중,남자,한발 앞으로 내밀고 앉았다 일어서기
20대,저체중,남자,앉았다 일어서기
20대,저체중,남자,바벨 끌어당기기
20대,저체중,남자,하지 루틴 스트레칭2
20대,저체중,남자,서서 균형잡기
20대,저체중,남자,물당기기/밀기
20대,저체중,남자,골반 스트레칭2
20대,저체중,남자,바벨 당겨 올리기
20대,비만전단계비만,여자,몸통 들어올리기
20대,비만전단계비만,여자,양발 벌려 무릎 밀어내기
20대,저체중,남자,상지 루틴 스트레칭
20대,저체중,남자,엉덩이 스트레칭
20대,저체중,남자,목 스트레칭
20대,저체중,남자,조깅
20대,저체중,남자,전신 루틴 스트레칭
20대,비만전단계비만,여자,허리 스트레칭
20대,비만전단계비만,여자,전신 루틴 스트레칭
20대,비만전단계비만,여자,앉아서 밴드 잡고 몸통 돌리기
20대,비만전단계비만,여자,몸통 들어올리기
20대,비만전단계비만,여자,가슴 어깨 펴기
20대,비만전단계비만,여자,계단 뛰어 오르기
20대,비만전단계비만,여자,엉덩이 스트레칭
20대,비만전단계비만,여자,등/어깨 뒤쪽 스트레칭
20대,비만전단계비만,여자,넙다리 뒤쪽 스트레칭
20대,비만전단계비만,여자,하지 루틴 스트레칭1
20대,비만전단계비만,여자,자가근막이완술 루틴 스트레칭
20대,비만전단계비만,여자,조깅
20대,비만전단계비만,여자,무릎굽혀 원 그리기
20대,비만전단계비만,여자,목 스트레칭
20대,비만전단계비만,여자,엉덩이 스트레칭
20대,저체중,남자,목 스트레칭
20대,저체중,남자,유산소 운동 전 동적 루틴 스트레칭
20대,저체중,남자,전신 루틴 스트레칭
20대,저체중,남자,등/어깨 뒤쪽 스트레칭
20대,저체중,남자,트레드밀에서 걷기
20대,저체중,남자,엎드려 버티기
20대,저체중,남자,앉았다 일어서기
20대,저체중,남자,앉았다 일어서기
20대,저체중,남자,한발 앞으로 내밀고 앉았다 일어서기
20대,저체중,남자,바벨 끌어당기기
20대,저체중,남자,하지 루틴 스트레칭2
20대,저체중,남자,상지 루틴 스트레칭
20대,저체중,남자,자가근막이완술 루틴 스트레칭
20대,저체중,남자,무릎굽혀 원 그리기
20대,저체중,남자,하지 루틴 스트레칭1
20대,비만전단계비만,여자,밴드 잡고 누워서 다리 밀기
20대,비만전단계비만,여자,무릎굽혀 원 그리기
20대,비만전단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,비만전단계비만,여자,자가근막이완술 루틴 스트레칭
20대,비만전단계비만,여자,수건잡고 팔 들어올리기
20대,비만전단계비만,여자,서서 뒤꿈치 들기
20대,비만전단계비만,남자,몸통 들어올리기
20대,비만전단계비만,남자,허리 스트레칭
20대,비만전단계비만,남자,목 스트레칭
20대,비만전단계비만,남자,아래 팔 스트레칭
20대,비만전단계비만,남자,줄넘기
20대,비만전단계비만,남자,목봉잡고 앉았다 일어나기
20대,비만전단계비만,남자,밴드 잡고 누워서 다리 밀기
20대,비만전단계비만,남자,허리 스트레칭
20대,비만전단계비만,남자,목 스트레칭
20대,비만전단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,비만전단계비만,남자,전신 루틴 스트레칭
20대,비만전단계비만,남자,짐볼을 이용한 동적 루틴 스트레칭
20대,비만전단계비만,남자,엉덩이 스트레칭
20대,비만전단계비만,남자,넙다리 뒤쪽 스트레칭
20대,비만전단계비만,남자,등/어깨 뒤쪽 스트레칭
20대,비만전단계비만,남자,좌식생활자를 위한 동적 루틴 스트레칭
20대,비만전단계비만,남자,전신 루틴 스트레칭
20대,비만전단계비만,남자,조깅
20대,비만전단계비만,남자,자가근막이완술 루틴 스트레칭
20대,비만전단계비만,남자,상지 루틴 스트레칭
20대,비만전단계비만,남자,엉덩이 스트레칭
20대,비만전단계비만,남자,목 스트레칭
20대,비만전단계비만,여자,몸통 들어올리기
20대,비만전단계비만,여자,전신 루틴 스트레칭
20대,비만전단계비만,여자,목 스트레칭
20대,비만전단계비만,여자,유산소 운동 전 동적 루틴 스트레칭
20대,비만전단계비만,여자,허리 스트레칭
20대,비만전단계비만,여자,계단 뛰어 오르기
20대,비만전단계비만,여자,볼 튕기면서 스쿼트
20대,비만전단계비만,여자,계단 올라갔다 내려오기
20대,비만전단계비만,여자,엎드려 버티기
20대,비만전단계비만,여자,등/어깨 뒤쪽 스트레칭
20대,비만전단계비만,여자,자가근막이완술 루틴 스트레칭
20대,비만전단계비만,여자,무릎굽혀 원 그리기
20대,비만전단계비만,여자,하지 루틴 스트레칭2
20대,비만전단계비만,여자,조깅
20대,비만전단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,비만전단계비만,남자,목 스트레칭
20대,비만전단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,비만전단계비만,남자,전신 루틴 스트레칭
20대,비만전단계비만,남자,몸통 들어올리기
20대,1단계비만,여자,몸통 들어올리기
20대,1단계비만,여자,줄넘기
20대,1단계비만,여자,아래 팔 스트레칭
20대,1단계비만,여자,짐볼에 다리 올리고 좌우로 움직이기
20대,1단계비만,여자,몸통 들어올리기
20대,1단계비만,여자,몸통 들어올리기
20대,1단계비만,여자,밴드 잡고 누워서 다리 밀기
20대,1단계비만,여자,목봉잡고 앉았다 일어나기
20대,1단계비만,여자,벽에서 팔굽혀 펴기
20대,1단계비만,여자,덤벨 잡고 한발 내밀어 굽혔다 펴기
20대,1단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,1단계비만,여자,무릎굽혀 원 그리기
20대,1단계비만,여자,자가근막이완술 루틴 스트레칭
20대,1단계비만,여자,옆으로 누워 버티기
20대,1단계비만,여자,한발 앞으로 내밀고 앉았다 일어서기
20대,1단계비만,여자,유산소 운동 전 동적 루틴 스트레칭
20대,1단계비만,여자,전신 루틴 스트레칭
20대,1단계비만,여자,작은 공을 이용한 동적 루틴 스트레칭
20대,1단계비만,여자,앉아서 밴드 잡고 몸통 돌리기
20대,1단계비만,여자,허리 스트레칭
20대,1단계비만,여자,턱걸이
20대,1단계비만,여자,계단 뛰어 오르기
20대,1단계비만,여자,손목 펴기/굽히기
20대,1단계비만,여자,네발기기 자세에서 다리 위로 뻗어올리기
20대,1단계비만,여자,누워서 배가로근 수축 II
20대,1단계비만,여자,자가근막이완술 루틴 스트레칭
20대,1단계비만,여자,상지 루틴 스트레칭
20대,1단계비만,여자,목 스트레칭
20대,1단계비만,여자,엉덩이 스트레칭
20대,1단계비만,여자,하지 루틴 스트레칭1
20대,비만전단계비만,남자,허리 스트레칭
20대,비만전단계비만,남자,엎드려 버티기
20대,비만전단계비만,남자,앉았다 일어서기
20대,비만전단계비만,남자,달리기
20대,비만전단계비만,남자,계단 뛰어 오르기
20대,비만전단계비만,남자,윗몸올리기
20대,비만전단계비만,남자,하지 루틴 스트레칭2
20대,비만전단계비만,남자,자가근막이완술 루틴 스트레칭
20대,비만전단계비만,남자,상지 루틴 스트레칭
20대,비만전단계비만,남자,조깅
20대,비만전단계비만,남자,무릎굽혀 원 그리기
20대,1단계비만,여자,유산소 운동 전 동적 루틴 스트레칭
20대,1단계비만,여자,전신 루틴 스트레칭
20대,1단계비만,여자,몸통 들어올리기
20대,1단계비만,여자,목 스트레칭
20대,1단계비만,여자,줄넘기
20대,1단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,1단계비만,남자,아래 팔 스트레칭
20대,1단계비만,남자,줄넘기
20대,1단계비만,남자,등/어깨 뒤쪽 스트레칭
20대,1단계비만,남자,전신 루틴 스트레칭
20대,1단계비만,남자,엎드려 버티기
20대,1단계비만,남자,턱걸이
20대,1단계비만,남자,목봉잡고 앉았다 일어나기
20대,1단계비만,남자,밴드 잡고 누워서 다리 밀기
20대,1단계비만,남자,몸통 들어올리기
20대,1단계비만,남자,하지 루틴 스트레칭1
20대,1단계비만,남자,상지 루틴 스트레칭
20대,1단계비만,남자,하지 루틴 스트레칭2
20대,1단계비만,남자,자가근막이완술 루틴 스트레칭
20대,1단계비만,남자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,1단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,1단계비만,남자,짐볼을 이용한 동적 루틴 스트레칭
20대,1단계비만,남자,전신 루틴 스트레칭
20대,1단계비만,남자,작은 공을 이용한 동적 루틴 스트레칭
20대,1단계비만,남자,목 스트레칭
20대,1단계비만,남자,턱걸이
20대,1단계비만,남자,엎드려 버티기
20대,1단계비만,남자,달리기
20대,1단계비만,남자,앉았다 일어서기
20대,1단계비만,남자,뒤로 팔굽혀펴기
20대,1단계비만,남자,상지 루틴 스트레칭
20대,1단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,1단계비만,남자,전신 루틴 스트레칭
20대,1단계비만,남자,목 스트레칭
20대,1단계비만,남자,등/어깨 뒤쪽 스트레칭
20대,1단계비만,남자,상지 루틴 스트레칭
20대,1단계비만,남자,엎드려 버티기
20대,1단계비만,남자,앉았다 일어서기
20대,1단계비만,남자,윗몸올리기
20대,1단계비만,남자,달리기
20대,1단계비만,남자,턱걸이
20대,1단계비만,남자,하지 루틴 스트레칭2
20대,1단계비만,남자,상지 루틴 스트레칭
20대,1단계비만,남자,하지 루틴 스트레칭1
20대,1단계비만,남자,자가근막이완술 루틴 스트레칭
20대,1단계비만,남자,전신 루틴 스트레칭
20대,2단계비만,여자,골다공증을 위한 심폐지구력 운동
20대,2단계비만,여자,저항밴드 운동  루틴프로그램
20대,2단계비만,여자,줄 따라 걷기
20대,2단계비만,여자,정적 스트레칭  루틴프로그램
20대,2단계비만,여자,좌우 양발모아 점프하기
20대,2단계비만,여자,몸통 들어올리기
20대,2단계비만,여자,밴드 잡고 누워서 다리 밀기
20대,2단계비만,여자,목봉잡고 앉았다 일어나기
20대,2단계비만,여자,벽에서 팔굽혀 펴기
20대,2단계비만,여자,물병 들고 한발 앞으로 내밀고 앉았다 일어서기
20대,2단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,2단계비만,여자,의자 잡고 후방으로 한발 뻗어 들기
20대,2단계비만,여자,골다공증을 위한 근력운동1
20대,2단계비만,여자,앉아서 밴드 잡고 몸통 돌리기
20대,2단계비만,여자,네발기기 자세로 팔 다리 들기
20대,2단계비만,여자,네발기기 자세에서 다리 위로 뻗어올리기
20대,2단계비만,여자,누워서 배가로근 수축 II
20대,2단계비만,여자,턱걸이
20대,2단계비만,여자,누워서 다리 들어올리기
20대,2단계비만,여자,자가근막이완술 루틴 스트레칭
20대,2단계비만,여자,엉덩이 스트레칭
20대,2단계비만,여자,목 스트레칭
20대,2단계비만,여자,조깅
20대,2단계비만,여자,전신 루틴 스트레칭
20대,2단계비만,남자,짐볼을 이용한 동적 루틴 스트레칭
20대,2단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,2단계비만,남자,탄력밴드 어깨 가쪽 돌림
20대,2단계비만,남자,옆구리늘리기
20대,2단계비만,남자,폼롤러 이용 유연성운동 루틴 프로그램
20대,2단계비만,남자,턱걸이
20대,2단계비만,남자,달리기
20대,2단계비만,남자,팔굽혀펴기
20대,2단계비만,여자,몸통 들어올리기
20대,2단계비만,여자,유산소 운동 전 동적 루틴 스트레칭
20대,2단계비만,여자,양팔 벌려 전신 비틀기
20대,2단계비만,여자,어깨 스트레칭
20대,2단계비만,여자,깍지 끼고 상체 숙이기
20대,2단계비만,여자,계단 뛰어 오르기
20대,2단계비만,여자,앉았다 일어서기
20대,2단계비만,여자,팔굽혀 펴기
20대,2단계비만,여자,볼 튕기면서 스쿼트
20대,2단계비만,여자,버피 테스트
20대,2단계비만,여자,자가근막이완술 루틴 스트레칭
20대,2단계비만,여자,하지 루틴 스트레칭2
20대,2단계비만,여자,무릎굽혀 원 그리기
20대,2단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,2단계비만,여자,엉덩이 스트레칭2
20대,2단계비만,남자,상지 루틴 스트레칭
20대,2단계비만,남자,목봉잡고 앉았다 일어나기
20대,2단계비만,남자,밴드 잡고 누워서 다리 밀기
20대,2단계비만,남자,몸통 들어올리기
20대,2단계비만,남자,누워서 밀기
20대,2단계비만,남자,앉아서 다리 굽히기
20대,2단계비만,남자,계단 두발 뛰기
20대,2단계비만,남자,점프 팔굽혀펴기
20대,2단계비만,남자,등척성운동-안쪽 돌림
20대,2단계비만,남자,엉덩이 스트레칭
20대,2단계비만,남자,허리 굽혀 덤벨 들기
20대,3단계비만,여자,누워서 다리 굽히기
20대,3단계비만,여자,줄넘기 운동
20대,3단계비만,여자,자전거타기
20대,3단계비만,여자,옆구리늘리기
20대,3단계비만,여자,탄력밴드 어깨 가쪽 돌림
20대,3단계비만,여자,폼롤러 이용 유연성운동 루틴 프로그램
20대,3단계비만,여자,가슴 어깨 펴기
20대,3단계비만,여자,앉아서 밴드 잡고 몸통 돌리기
20대,3단계비만,여자,네발기기 자세로 팔 다리 들기
20대,3단계비만,여자,누워서 배가로근 수축 II
20대,3단계비만,여자,네발기기 자세에서 다리 위로 뻗어올리기
20대,3단계비만,여자,턱걸이
20대,3단계비만,여자,누워서 다리 들어올리기
20대,3단계비만,여자,자가근막이완술 루틴 스트레칭
20대,3단계비만,여자,엉덩이 스트레칭
20대,3단계비만,여자,목 스트레칭
20대,3단계비만,여자,조깅
20대,3단계비만,여자,전신 루틴 스트레칭
20대,2단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,2단계비만,남자,목 스트레칭
20대,2단계비만,남자,하지 루틴 스트레칭1
20대,2단계비만,남자,상지 루틴 스트레칭
20대,2단계비만,남자,전신 루틴 스트레칭
20대,2단계비만,남자,엎드려 버티기
20대,2단계비만,남자,앉았다 일어서기
20대,2단계비만,남자,달리기
20대,2단계비만,남자,팔굽혀 펴기
20대,2단계비만,남자,윗몸올리기
20대,3단계비만,남자,줄넘기
20대,3단계비만,남자,아래 팔 스트레칭
20대,3단계비만,남자,목 돌리기
20대,3단계비만,남자,무릎굽혀 원 그리기
20대,3단계비만,남자,하지 루틴 스트레칭1
20대,3단계비만,남자,목봉잡고 앉았다 일어나기
20대,3단계비만,남자,밴드 잡고 누워서 다리 밀기
20대,3단계비만,남자,몸통 들어올리기
20대,3단계비만,남자,앉아서 밀기
20대,3단계비만,남자,앉아서 다리 굽히기
20대,3단계비만,남자,앉아서 몸통 움츠리기
20대,3단계비만,남자,엎드려서 균형잡기
20대,3단계비만,남자,계단 한발 뛰기
20대,3단계비만,남자,막대 잡고 대각선으로 팔 들어올리기
20대,3단계비만,남자,수영
20대,3단계비만,남자,짐볼을 이용한 동적 루틴 스트레칭
20대,3단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,3단계비만,남자,탄력밴드 어깨 가쪽 돌림
20대,3단계비만,남자,옆구리늘리기
20대,3단계비만,남자,가슴 어깨 펴기
20대,3단계비만,남자,턱걸이
20대,3단계비만,남자,달리기
20대,3단계비만,남자,팔굽혀펴기
20대,3단계비만,남자,누워서 다리 들어올리기
20대,3단계비만,남자,서서 상체 일으키기
20대,3단계비만,남자,상지 루틴 스트레칭
20대,3단계비만,남자,엉덩이 스트레칭
20대,3단계비만,남자,목 스트레칭
20대,3단계비만,남자,조깅
20대,3단계비만,남자,전신 루틴 스트레칭
20대,3단계비만,여자,양팔 벌려 전신 비틀기
20대,3단계비만,여자,어깨 스트레칭
20대,3단계비만,여자,계단 뛰어 오르기
20대,3단계비만,여자,앉았다 일어서기
20대,3단계비만,여자,팔굽혀 펴기
20대,3단계비만,여자,볼 튕기면서 스쿼트
20대,3단계비만,여자,버피 테스트
20대,3단계비만,여자,자가근막이완술 루틴 스트레칭
20대,3단계비만,여자,하지 루틴 스트레칭2
20대,3단계비만,여자,무릎굽혀 원 그리기
20대,3단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,3단계비만,여자,엉덩이 스트레칭2
20대,3단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
20대,3단계비만,남자,목 스트레칭
20대,3단계비만,남자,상지 루틴 스트레칭
20대,3단계비만,남자,하지 루틴 스트레칭1
20대,3단계비만,남자,전신 루틴 스트레칭
20대,정상,여자,앉아서 밴드 잡고 몸통 돌리기
20대,정상,여자,유산소 운동 전 동적 루틴 스트레칭
20대,정상,여자,전신 루틴 스트레칭
20대,3단계비만,남자,밴드 걸고 앉아서 발등 굽힘
20대,3단계비만,남자,하지 루틴 스트레칭1
20대,3단계비만,남자,자가근막이완술 루틴 스트레칭
20대,3단계비만,남자,상지 루틴 스트레칭
20대,3단계비만,남자,하지 루틴 스트레칭2
20대,3단계비만,남자,윗몸올리기
20대,3단계비만,남자,팔굽혀 펴기
20대,3단계비만,남자,달리기
20대,3단계비만,남자,앉았다 일어서기
20대,3단계비만,남자,엎드려 버티기
20대,3단계비만,여자,깍지 끼고 상체 숙이기
20대,3단계비만,여자,유산소 운동 전 동적 루틴 스트레칭
20대,3단계비만,여자,몸통 들어올리기
20대,2단계비만,남자,내전근 스트레칭
20대,2단계비만,남자,하지 루틴 스트레칭1
20대,2단계비만,남자,자가근막이완술 루틴 스트레칭
20대,2단계비만,남자,상지 루틴 스트레칭
20대,2단계비만,남자,하지 루틴 스트레칭2
20대,1단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,1단계비만,여자,상지 루틴 스트레칭
20대,1단계비만,여자,무릎굽혀 원 그리기
20대,1단계비만,여자,하지 루틴 스트레칭2
20대,1단계비만,여자,자가근막이완술 루틴 스트레칭
20대,1단계비만,여자,앉았다 일어서기
20대,1단계비만,여자,볼 튕기면서 스쿼트
20대,1단계비만,여자,계단 뛰어 오르기
20대,1단계비만,여자,턱걸이
20대,1단계비만,여자,엎드려 버티기
20대,정상,남자,하지 루틴 스트레칭1
20대,정상,남자,전신 루틴 스트레칭
20대,정상,남자,자가근막이완술 루틴 스트레칭
20대,정상,남자,상지 루틴 스트레칭
20대,정상,남자,하지 루틴 스트레칭2
20대,정상,남자,한발 앞으로 내밀고 앉았다 일어서기
20대,정상,남자,윗몸올리기
20대,정상,남자,앉았다 일어서기
20대,정상,남자,엎드려 버티기
20대,정상,여자,전신 루틴 스트레칭
20대,정상,여자,유산소 운동 전 동적 루틴 스트레칭
20대,2단계비만,남자,전신 루틴 스트레칭
20대,2단계비만,남자,조깅
20대,2단계비만,남자,목 스트레칭
20대,2단계비만,남자,엉덩이 스트레칭
20대,2단계비만,남자,상지 루틴 스트레칭
20대,2단계비만,남자,서서 상체 일으키기
20대,2단계비만,남자,누워서 다리 들어올리기
20대,2단계비만,여자,가슴 어깨 펴기
20대,2단계비만,여자,탄력밴드 어깨 가쪽 돌림
20대,2단계비만,여자,폼롤러 이용 유연성운동 루틴 프로그램
20대,1단계비만,남자,엉덩이 스트레칭
20대,1단계비만,남자,목 스트레칭
20대,1단계비만,남자,자가근막이완술 루틴 스트레칭
20대,1단계비만,남자,하지 루틴 스트레칭1
20대,저체중,남자,누워서 엉덩이 들어올리기
20대,저체중,남자,엎드려 버티기
20대,저체중,남자,앉았다 일어서기
20대,저체중,남자,턱걸이
20대,3단계비만,여자,치매를 위한 스트레칭(의자)
20대,3단계비만,여자,의자 이용 평형성운동 루틴 프로그램
20대,3단계비만,여자,탄력밴드 이용 평형성운동 루틴 프로그램
20대,3단계비만,여자,요통을 위한 스트레칭1
20대,3단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,3단계비만,여자,서서 다리로 탄력밴드 당기기 II
20대,3단계비만,여자,벽에서 팔굽혀 펴기
20대,3단계비만,여자,목봉잡고 앉았다 일어나기
20대,3단계비만,여자,밴드 잡고 누워서 다리 밀기
20대,3단계비만,여자,몸통 들어올리기
20대,3단계비만,여자,짐볼 앉아 한발 들기
20대,3단계비만,여자,짐볼 앉아 한발 내딛기
20대,2단계비만,남자,무릎굽혀 원 그리기
20대,2단계비만,남자,목 돌리기
20대,2단계비만,남자,아래 팔 스트레칭
20대,2단계비만,남자,줄넘기
20대,2단계비만,여자,풍선 튕기기
20대,2단계비만,여자,뒤로 팔굽혀펴기
20대,비만전단계비만,남자,팔굽혀펴기(무릎대고 실시)
20대,비만전단계비만,남자,하지 루틴 스트레칭2
20대,비만전단계비만,남자,무릎굽혀 원 그리기
20대,비만전단계비만,남자,조깅
20대,비만전단계비만,남자,자가근막이완술 루틴 스트레칭
20대,비만전단계비만,남자,계단 뛰어 오르기
20대,비만전단계비만,남자,볼 튕기면서 스쿼트
20대,비만전단계비만,남자,몸통 들어올리기
20대,비만전단계비만,여자,목봉잡고 앉았다 일어나기
20대,비만전단계비만,여자,계단 뛰어 오르기
20대,비만전단계비만,여자,볼 튕기면서 스쿼트
20대,비만전단계비만,여자,몸통 들어올리기
20대,비만전단계비만,여자,앉아서 상체 앞 옆으로 기울기
20대,비만전단계비만,여자,누워서 팔 밀기
20대,비만전단계비만,여자,짐볼 배에 대고 버티기
20대,정상,여자,팔 당기기
20대,정상,여자,저항밴드 운동  루틴프로그램
20대,정상,여자,무릎굽혀 원 그리기
20대,정상,여자,자가근막이완술 루틴 스트레칭
20대,정상,여자,짐볼 앉기 평형성 운동 루틴 프로그램
20대,정상,여자,발가락 폄근 스트레칭
20대,정상,여자,벽에서 팔굽혀 펴기
20대,정상,여자,목봉잡고 앉았다 일어나기
20대,정상,여자,밴드 잡고 누워서 다리 밀기
20대,정상,여자,몸통 들어올리기
20대,정상,여자,저항밴드 운동  루틴프로그램
20대,정상,여자,왜가리 자세
20대,정상,여자,줄 따라 걷기
20대,정상,여자,몸통 들어올리기
20대,정상,여자,앉아서 밴드 잡고 몸통 돌리기
30대,2단계비만,남자,뒷발 교차 뛰기
30대,2단계비만,남자,몸통 들어올리기
30대,2단계비만,남자,밴드 잡고 누워서 다리 밀기
30대,2단계비만,남자,목봉잡고 앉았다 일어나기
30대,2단계비만,남자,휴식자세
30대,2단계비만,남자,양발 교차 올리기
30대,2단계비만,남자,협응력 향상 프로그램_계이름 치기
30대,2단계비만,남자,무릎굽혀 원 그리기
30대,2단계비만,남자,목 돌리기
30대,2단계비만,여자,좌 우 회전(목 좌 우 회전)
30대,2단계비만,여자,계단 한발 뛰기
30대,1단계비만,남자,덤벨 잡고 앉았다 일어서기
30대,1단계비만,남자,대퇴사두근 스트레칭
30대,1단계비만,남자,하지 루틴 스트레칭1
30대,1단계비만,남자,상지 루틴 스트레칭
30대,1단계비만,남자,하지 루틴 스트레칭2
30대,1단계비만,남자,팔굽혀 펴기
30대,1단계비만,남자,턱걸이
30대,1단계비만,남자,앉았다 일어서기
30대,1단계비만,남자,윗몸올리기
30대,1단계비만,남자,엎드려 버티기
30대,1단계비만,남자,상지 루틴 스트레칭
30대,1단계비만,남자,하지 루틴 스트레칭1
30대,1단계비만,남자,등/어깨 뒤쪽 스트레칭
30대,1단계비만,남자,목 스트레칭
30대,1단계비만,남자,유산소 운동 전 동적 루틴 스트레칭
30대,2단계비만,여자,전신 루틴 스트레칭
30대,2단계비만,여자,짐볼 앉기 평형성 운동 루틴 프로그램
30대,2단계비만,여자,목 스트레칭
30대,2단계비만,여자,엉덩이 스트레칭
30대,2단계비만,여자,조깅
30대,2단계비만,여자,팔굽혀펴기
30대,2단계비만,여자,누워서 다리 들어올리기
30대,2단계비만,여자,누워서 배가로근 수축 II
30대,2단계비만,여자,네발기기 자세로 팔 다리 들기
30대,2단계비만,여자,네발기기 자세에서 다리 위로 뻗어올리기
30대,2단계비만,여자,허리 스트레칭
30대,2단계비만,여자,탄력밴드 어깨 가쪽 돌림
30대,2단계비만,여자,옆구리늘리기
